"GEOID","NAME","variable","estimate","moe"
"01005","Barbour County, Alabama","B01001_013",887,126
"01005","Barbour County, Alabama","B01001_014",950,127
"01005","Barbour County, Alabama","B01001_015",967,48
"01005","Barbour County, Alabama","B01001_016",863,35
"01005","Barbour County, Alabama","B01001_017",851,99
"01005","Barbour County, Alabama","B01001_018",277,69
"01005","Barbour County, Alabama","B01001_019",507,94
"01005","Barbour County, Alabama","B01001_020",266,70
"01005","Barbour County, Alabama","B01001_021",305,64
"01005","Barbour County, Alabama","B01001_022",728,74
"01005","Barbour County, Alabama","B01001_023",398,77
"01005","Barbour County, Alabama","B01001_024",237,63
"01005","Barbour County, Alabama","B01001_025",93,50
"01005","Barbour County, Alabama","B01001_026",11940,80
"01005","Barbour County, Alabama","B01001_027",653,31
"01005","Barbour County, Alabama","B01001_028",897,124
"01005","Barbour County, Alabama","B01001_029",652,93
"01005","Barbour County, Alabama","B01001_030",444,12
"01005","Barbour County, Alabama","B01001_031",241,34
"01005","Barbour County, Alabama","B01001_032",164,72
"01005","Barbour County, Alabama","B01001_033",103,53
"01005","Barbour County, Alabama","B01001_034",384,102
"01005","Barbour County, Alabama","B01001_035",684,48
"01005","Barbour County, Alabama","B01001_036",725,59
"01005","Barbour County, Alabama","B01001_037",617,116
"01005","Barbour County, Alabama","B01001_038",584,120
"01005","Barbour County, Alabama","B01001_039",667,22
"01005","Barbour County, Alabama","B01001_040",813,34
"01005","Barbour County, Alabama","B01001_041",777,130
"01005","Barbour County, Alabama","B01001_042",388,108
"01005","Barbour County, Alabama","B01001_043",464,98
"01005","Barbour County, Alabama","B01001_044",312,79
"01005","Barbour County, Alabama","B01001_045",570,96
"01005","Barbour County, Alabama","B01001_046",663,93
"01005","Barbour County, Alabama","B01001_047",457,89
"01005","Barbour County, Alabama","B01001_048",369,88
"01005","Barbour County, Alabama","B01001_049",312,79
"01007","Bibb County, Alabama","B01001_001",22493,NA
"01007","Bibb County, Alabama","B01001_002",12150,193
"01007","Bibb County, Alabama","B01001_003",701,127
"01007","Bibb County, Alabama","B01001_004",674,172
"01007","Bibb County, Alabama","B01001_005",628,205
"01007","Bibb County, Alabama","B01001_006",600,117
"01007","Bibb County, Alabama","B01001_007",240,73
"01007","Bibb County, Alabama","B01001_008",75,57
"01007","Bibb County, Alabama","B01001_009",52,36
"01007","Bibb County, Alabama","B01001_010",497,126
"01007","Bibb County, Alabama","B01001_011",872,188
"01007","Bibb County, Alabama","B01001_012",1213,286
"01007","Bibb County, Alabama","B01001_013",772,169
"01007","Bibb County, Alabama","B01001_014",888,176
"01007","Bibb County, Alabama","B01001_015",907,155
"01007","Bibb County, Alabama","B01001_016",982,136
"01007","Bibb County, Alabama","B01001_017",791,163
"01007","Bibb County, Alabama","B01001_018",261,119
"01007","Bibb County, Alabama","B01001_019",401,120
"01007","Bibb County, Alabama","B01001_020",155,66
"01007","Bibb County, Alabama","B01001_021",444,142
"01007","Bibb County, Alabama","B01001_022",466,122
"01007","Bibb County, Alabama","B01001_023",311,98
"01007","Bibb County, Alabama","B01001_024",87,66
"01007","Bibb County, Alabama","B01001_025",133,87
"01007","Bibb County, Alabama","B01001_026",10343,193
"01007","Bibb County, Alabama","B01001_027",614,103
"01007","Bibb County, Alabama","B01001_028",545,158
"01007","Bibb County, Alabama","B01001_029",504,139
"01007","Bibb County, Alabama","B01001_030",365,49
"01007","Bibb County, Alabama","B01001_031",195,73
"01007","Bibb County, Alabama","B01001_032",128,115
"01007","Bibb County, Alabama","B01001_033",84,74
"01007","Bibb County, Alabama","B01001_034",423,134
"01007","Bibb County, Alabama","B01001_035",716,126
"01007","Bibb County, Alabama","B01001_036",475,22
"01007","Bibb County, Alabama","B01001_037",677,156
"01007","Bibb County, Alabama","B01001_038",573,173
"01007","Bibb County, Alabama","B01001_039",894,171
"01007","Bibb County, Alabama","B01001_040",736,107
"01007","Bibb County, Alabama","B01001_041",624,179
"01007","Bibb County, Alabama","B01001_042",322,176
"01007","Bibb County, Alabama","B01001_043",480,168
"01007","Bibb County, Alabama","B01001_044",192,77
"01007","Bibb County, Alabama","B01001_045",398,124
"01007","Bibb County, Alabama","B01001_046",443,146
"01007","Bibb County, Alabama","B01001_047",322,113
"01007","Bibb County, Alabama","B01001_048",324,139
"01007","Bibb County, Alabama","B01001_049",309,124
"01009","Blount County, Alabama","B01001_001",57681,NA
"01009","Blount County, Alabama","B01001_002",28495,142
"01009","Blount County, Alabama","B01001_003",1750,66
"01009","Blount County, Alabama","B01001_004",1734,231
"01009","Blount County, Alabama","B01001_005",2092,240
"01009","Blount County, Alabama","B01001_006",1251,75
"01009","Blount County, Alabama","B01001_007",727,101
"01009","Blount County, Alabama","B01001_008",179,84
"01009","Blount County, Alabama","B01001_009",412,144
"01009","Blount County, Alabama","B01001_010",1077,170
"01009","Blount County, Alabama","B01001_011",1746,62
"01009","Blount County, Alabama","B01001_012",1631,140
"01009","Blount County, Alabama","B01001_013",1603,224
"01009","Blount County, Alabama","B01001_014",2037,219
"01009","Blount County, Alabama","B01001_015",1963,126
"01009","Blount County, Alabama","B01001_016",1885,64
"01009","Blount County, Alabama","B01001_017",2046,234
"01009","Blount County, Alabama","B01001_018",709,148
"01009","Blount County, Alabama","B01001_019",1044,201
"01009","Blount County, Alabama","B01001_020",535,131
"01009","Blount County, Alabama","B01001_021",993,198
"01009","Blount County, Alabama","B01001_022",1360,217
"01009","Blount County, Alabama","B01001_023",684,105
"01009","Blount County, Alabama","B01001_024",603,126
"01009","Blount County, Alabama","B01001_025",434,109
"01009","Blount County, Alabama","B01001_026",29186,142
"01009","Blount County, Alabama","B01001_027",1682,36
"01009","Blount County, Alabama","B01001_028",1856,250
"01009","Blount County, Alabama","B01001_029",1942,245
"01009","Blount County, Alabama","B01001_030",1082,64
"01009","Blount County, Alabama","B01001_031",562,85
"01009","Blount County, Alabama","B01001_032",434,211
"01009","Blount County, Alabama","B01001_033",184,104
"01009","Blount County, Alabama","B01001_034",926,175
"01009","Blount County, Alabama","B01001_035",1757,90
"01009","Blount County, Alabama","B01001_036",1705,54
"01009","Blount County, Alabama","B01001_037",1563,223
"01009","Blount County, Alabama","B01001_038",2060,224
"01009","Blount County, Alabama","B01001_039",1991,95
"01009","Blount County, Alabama","B01001_040",1860,56
"01009","Blount County, Alabama","B01001_041",1809,235
"01009","Blount County, Alabama","B01001_042",919,177
"01009","Blount County, Alabama","B01001_043",1137,176
"01009","Blount County, Alabama","B01001_044",952,178
"01009","Blount County, Alabama","B01001_045",819,187
"01009","Blount County, Alabama","B01001_046",1452,190
"01009","Blount County, Alabama","B01001_047",1010,143
"01009","Blount County, Alabama","B01001_048",863,175
"01009","Blount County, Alabama","B01001_049",621,147
"01011","Bullock County, Alabama","B01001_001",10248,NA
"01011","Bullock County, Alabama","B01001_002",5571,82
"01011","Bullock County, Alabama","B01001_003",260,2
"01011","Bullock County, Alabama","B01001_004",383,117
"01011","Bullock County, Alabama","B01001_005",216,122
"01011","Bullock County, Alabama","B01001_006",232,82
"01011","Bullock County, Alabama","B01001_007",302,226
"01011","Bullock County, Alabama","B01001_008",27,34
"01011","Bullock County, Alabama","B01001_009",128,120
"01011","Bullock County, Alabama","B01001_010",180,144
"01011","Bullock County, Alabama","B01001_011",373,213
"01011","Bullock County, Alabama","B01001_012",445,207
"01011","Bullock County, Alabama","B01001_013",379,196
"01011","Bullock County, Alabama","B01001_014",303,179
"01011","Bullock County, Alabama","B01001_015",554,266
"01011","Bullock County, Alabama","B01001_016",319,118
"01011","Bullock County, Alabama","B01001_017",334,155
"01011","Bullock County, Alabama","B01001_018",186,85
"01011","Bullock County, Alabama","B01001_019",247,133
"01011","Bullock County, Alabama","B01001_020",143,72
"01011","Bullock County, Alabama","B01001_021",110,79
"01011","Bullock County, Alabama","B01001_022",252,81
"01011","Bullock County, Alabama","B01001_023",134,88
"01011","Bullock County, Alabama","B01001_024",64,65
"01011","Bullock County, Alabama","B01001_025",0,19
"01011","Bullock County, Alabama","B01001_026",4677,82
"01011","Bullock County, Alabama","B01001_027",282,4
"01011","Bullock County, Alabama","B01001_028",255,147
"01011","Bullock County, Alabama","B01001_029",338,156
"01011","Bullock County, Alabama","B01001_030",162,61
"01011","Bullock County, Alabama","B01001_031",118,116
"01011","Bullock County, Alabama","B01001_032",0,19
"01011","Bullock County, Alabama","B01001_033",91,98
"01011","Bullock County, Alabama","B01001_034",173,109
"01011","Bullock County, Alabama","B01001_035",306,120
"01011","Bullock County, Alabama","B01001_036",147,104
"01011","Bullock County, Alabama","B01001_037",287,181
"01011","Bullock County, Alabama","B01001_038",415,205
"01011","Bullock County, Alabama","B01001_039",192,98
"01011","Bullock County, Alabama","B01001_040",296,28
"01011","Bullock County, Alabama","B01001_041",341,121
"01011","Bullock County, Alabama","B01001_042",217,93
"01011","Bullock County, Alabama","B01001_043",120,74
"01011","Bullock County, Alabama","B01001_044",115,55
"01011","Bullock County, Alabama","B01001_045",175,67
"01011","Bullock County, Alabama","B01001_046",225,69
"01011","Bullock County, Alabama","B01001_047",139,61
"01011","Bullock County, Alabama","B01001_048",112,62
"01011","Bullock County, Alabama","B01001_049",171,74
"01013","Butler County, Alabama","B01001_001",19828,NA
"01013","Butler County, Alabama","B01001_002",9081,122
"01013","Butler County, Alabama","B01001_003",458,114
"01013","Butler County, Alabama","B01001_004",701,117
"01013","Butler County, Alabama","B01001_005",628,116
"01013","Butler County, Alabama","B01001_006",418,11
"01013","Butler County, Alabama","B01001_007",222,69
"01013","Butler County, Alabama","B01001_008",138,70
"01013","Butler County, Alabama","B01001_009",153,77
"01013","Butler County, Alabama","B01001_010",276,79
"01013","Butler County, Alabama","B01001_011",568,17
"01013","Butler County, Alabama","B01001_012",545,60
"01013","Butler County, Alabama","B01001_013",574,143
"01013","Butler County, Alabama","B01001_014",597,145
"01013","Butler County, Alabama","B01001_015",400,58
"01013","Butler County, Alabama","B01001_016",517,19
"01013","Butler County, Alabama","B01001_017",670,124
"01013","Butler County, Alabama","B01001_018",193,71
"01013","Butler County, Alabama","B01001_019",427,115
"01013","Butler County, Alabama","B01001_020",159,74
"01013","Butler County, Alabama","B01001_021",380,110
"01013","Butler County, Alabama","B01001_022",590,102
"01013","Butler County, Alabama","B01001_023",182,49
"01013","Butler County, Alabama","B01001_024",126,60
"01013","Butler County, Alabama","B01001_025",159,64
"01013","Butler County, Alabama","B01001_026",10747,122
"01013","Butler County, Alabama","B01001_027",691,113
"01013","Butler County, Alabama","B01001_028",591,102
"01013","Butler County, Alabama","B01001_029",575,109
"01013","Butler County, Alabama","B01001_030",393,36
"01013","Butler County, Alabama","B01001_031",239,113
"01013","Butler County, Alabama","B01001_032",137,74
"01013","Butler County, Alabama","B01001_033",128,78
"01013","Butler County, Alabama","B01001_034",261,92
"01013","Butler County, Alabama","B01001_035",602,2
"01013","Butler County, Alabama","B01001_036",624,2
"01013","Butler County, Alabama","B01001_037",752,148
"01013","Butler County, Alabama","B01001_038",606,136
"01013","Butler County, Alabama","B01001_039",645,10
"01013","Butler County, Alabama","B01001_040",665,14
"01013","Butler County, Alabama","B01001_041",746,108
"01013","Butler County, Alabama","B01001_042",413,105
"01013","Butler County, Alabama","B01001_043",375,82
"01013","Butler County, Alabama","B01001_044",280,114
"01013","Butler County, Alabama","B01001_045",341,93
"01013","Butler County, Alabama","B01001_046",538,107
"01013","Butler County, Alabama","B01001_047",508,110
"01013","Butler County, Alabama","B01001_048",271,98
"01013","Butler County, Alabama","B01001_049",366,126
"01015","Calhoun County, Alabama","B01001_001",114618,NA
"01015","Calhoun County, Alabama","B01001_002",55141,178
"01015","Calhoun County, Alabama","B01001_003",3254,111
"01015","Calhoun County, Alabama","B01001_004",3456,343
"01015","Calhoun County, Alabama","B01001_005",3622,340
"01015","Calhoun County, Alabama","B01001_006",2468,70
"01015","Calhoun County, Alabama","B01001_007",1637,110
"01015","Calhoun County, Alabama","B01001_008",929,268
"01015","Calhoun County, Alabama","B01001_009",793,188
"01015","Calhoun County, Alabama","B01001_010",1991,282
"01015","Calhoun County, Alabama","B01001_011",3965,103
"01015","Calhoun County, Alabama","B01001_012",3424,128
"01015","Calhoun County, Alabama","B01001_013",3464,274
"01015","Calhoun County, Alabama","B01001_014",3088,258
"01015","Calhoun County, Alabama","B01001_015",3362,70
"01015","Calhoun County, Alabama","B01001_016",3740,105
"01015","Calhoun County, Alabama","B01001_017",3674,355
"01015","Calhoun County, Alabama","B01001_018",1660,257
"01015","Calhoun County, Alabama","B01001_019",2242,297
"01015","Calhoun County, Alabama","B01001_020",1360,210
"01015","Calhoun County, Alabama","B01001_021",1694,207
"01015","Calhoun County, Alabama","B01001_022",2313,223
"01015","Calhoun County, Alabama","B01001_023",1506,193
"01015","Calhoun County, Alabama","B01001_024",861,159
"01015","Calhoun County, Alabama","B01001_025",638,144
"01015","Calhoun County, Alabama","B01001_026",59477,178
"01015","Calhoun County, Alabama","B01001_027",3354,125
"01015","Calhoun County, Alabama","B01001_028",3163,323
"01015","Calhoun County, Alabama","B01001_029",3527,317
"01015","Calhoun County, Alabama","B01001_030",2108,51
"01015","Calhoun County, Alabama","B01001_031",1534,83
"01015","Calhoun County, Alabama","B01001_032",501,141
"01015","Calhoun County, Alabama","B01001_033",858,191
"01015","Calhoun County, Alabama","B01001_034",2315,231
"01015","Calhoun County, Alabama","B01001_035",4101,93
"01015","Calhoun County, Alabama","B01001_036",3639,117
"01015","Calhoun County, Alabama","B01001_037",3790,316
"01015","Calhoun County, Alabama","B01001_038",3352,313
"01015","Calhoun County, Alabama","B01001_039",3677,79
"01015","Calhoun County, Alabama","B01001_040",3815,94
"01015","Calhoun County, Alabama","B01001_041",4342,305
"01015","Calhoun County, Alabama","B01001_042",1723,259
"01015","Calhoun County, Alabama","B01001_043",2312,280
"01015","Calhoun County, Alabama","B01001_044",1452,184
"01015","Calhoun County, Alabama","B01001_045",2164,273
"01015","Calhoun County, Alabama","B01001_046",2744,238
"01015","Calhoun County, Alabama","B01001_047",2160,234
"01015","Calhoun County, Alabama","B01001_048",1424,229
"01015","Calhoun County, Alabama","B01001_049",1422,219
"01017","Chambers County, Alabama","B01001_001",33660,NA
"01017","Chambers County, Alabama","B01001_002",16089,111
"01017","Chambers County, Alabama","B01001_003",999,33
"01017","Chambers County, Alabama","B01001_004",947,153
"01017","Chambers County, Alabama","B01001_005",938,162
"01017","Chambers County, Alabama","B01001_006",628,25
"01017","Chambers County, Alabama","B01001_007",294,81
"01017","Chambers County, Alabama","B01001_008",201,100
"01017","Chambers County, Alabama","B01001_009",182,95
"01017","Chambers County, Alabama","B01001_010",765,143
"01017","Chambers County, Alabama","B01001_011",1119,44
"01017","Chambers County, Alabama","B01001_012",948,75
"01017","Chambers County, Alabama","B01001_013",959,149
"01017","Chambers County, Alabama","B01001_014",826,162
"01017","Chambers County, Alabama","B01001_015",1109,74
"01017","Chambers County, Alabama","B01001_016",1125,32
"01017","Chambers County, Alabama","B01001_017",1335,167
"01017","Chambers County, Alabama","B01001_018",356,106
"01017","Chambers County, Alabama","B01001_019",587,146
"01017","Chambers County, Alabama","B01001_020",419,129
"01017","Chambers County, Alabama","B01001_021",579,144
"01017","Chambers County, Alabama","B01001_022",907,151
"01017","Chambers County, Alabama","B01001_023",487,102
"01017","Chambers County, Alabama","B01001_024",202,83
"01017","Chambers County, Alabama","B01001_025",177,88
"01017","Chambers County, Alabama","B01001_026",17571,111
"01017","Chambers County, Alabama","B01001_027",1044,52
"01017","Chambers County, Alabama","B01001_028",848,149
"01017","Chambers County, Alabama","B01001_029",1088,154
"01017","Chambers County, Alabama","B01001_030",573,41
"01017","Chambers County, Alabama","B01001_031",321,14
"01017","Chambers County, Alabama","B01001_032",274,96
"01017","Chambers County, Alabama","B01001_033",210,101
"01017","Chambers County, Alabama","B01001_034",559,125
"01017","Chambers County, Alabama","B01001_035",1109,29
"01017","Chambers County, Alabama","B01001_036",952,21
"01017","Chambers County, Alabama","B01001_037",1113,192
"01017","Chambers County, Alabama","B01001_038",938,183
"01017","Chambers County, Alabama","B01001_039",1135,34
"01017","Chambers County, Alabama","B01001_040",1182,31
"01017","Chambers County, Alabama","B01001_041",1295,166
"01017","Chambers County, Alabama","B01001_042",500,122
"01017","Chambers County, Alabama","B01001_043",731,133
"01017","Chambers County, Alabama","B01001_044",554,134
"01017","Chambers County, Alabama","B01001_045",650,116
"01017","Chambers County, Alabama","B01001_046",849,137
"01017","Chambers County, Alabama","B01001_047",732,131
"01017","Chambers County, Alabama","B01001_048",438,113
"01017","Chambers County, Alabama","B01001_049",476,134
"01019","Cherokee County, Alabama","B01001_001",25903,NA
"01019","Cherokee County, Alabama","B01001_002",12777,131
"01019","Cherokee County, Alabama","B01001_003",656,71
"01019","Cherokee County, Alabama","B01001_004",688,133
"01019","Cherokee County, Alabama","B01001_005",750,142
"01019","Cherokee County, Alabama","B01001_006",520,66
"01019","Cherokee County, Alabama","B01001_007",268,38
"01019","Cherokee County, Alabama","B01001_008",166,106
"01019","Cherokee County, Alabama","B01001_009",164,111
"01019","Cherokee County, Alabama","B01001_010",403,127
"01019","Cherokee County, Alabama","B01001_011",718,37
"01019","Cherokee County, Alabama","B01001_012",508,18
"01019","Cherokee County, Alabama","B01001_013",824,144
"01019","Cherokee County, Alabama","B01001_014",619,152
"01019","Cherokee County, Alabama","B01001_015",880,63
"01019","Cherokee County, Alabama","B01001_016",980,50
"01019","Cherokee County, Alabama","B01001_017",1036,142
"01019","Cherokee County, Alabama","B01001_018",325,111
"01019","Cherokee County, Alabama","B01001_019",572,128
"01019","Cherokee County, Alabama","B01001_020",326,109
"01019","Cherokee County, Alabama","B01001_021",630,130
"01019","Cherokee County, Alabama","B01001_022",731,141
"01019","Cherokee County, Alabama","B01001_023",635,108
"01019","Cherokee County, Alabama","B01001_024",221,87
"01019","Cherokee County, Alabama","B01001_025",157,80
"01019","Cherokee County, Alabama","B01001_026",13126,131
"01019","Cherokee County, Alabama","B01001_027",531,19
"01019","Cherokee County, Alabama","B01001_028",766,173
"01019","Cherokee County, Alabama","B01001_029",739,160
"01019","Cherokee County, Alabama","B01001_030",595,90
"01019","Cherokee County, Alabama","B01001_031",215,22
"01019","Cherokee County, Alabama","B01001_032",124,68
"01019","Cherokee County, Alabama","B01001_033",101,63
"01019","Cherokee County, Alabama","B01001_034",343,71
"01019","Cherokee County, Alabama","B01001_035",682,45
"01019","Cherokee County, Alabama","B01001_036",587,11
"01019","Cherokee County, Alabama","B01001_037",652,136
"01019","Cherokee County, Alabama","B01001_038",776,144
"01019","Cherokee County, Alabama","B01001_039",811,20
"01019","Cherokee County, Alabama","B01001_040",1017,89
"01019","Cherokee County, Alabama","B01001_041",983,148
"01019","Cherokee County, Alabama","B01001_042",474,112
"01019","Cherokee County, Alabama","B01001_043",619,130
"01019","Cherokee County, Alabama","B01001_044",437,116
"01019","Cherokee County, Alabama","B01001_045",525,140
"01019","Cherokee County, Alabama","B01001_046",862,148
"01019","Cherokee County, Alabama","B01001_047",560,139
"01019","Cherokee County, Alabama","B01001_048",371,119
"01019","Cherokee County, Alabama","B01001_049",356,136
"01021","Chilton County, Alabama","B01001_001",44055,NA
"01021","Chilton County, Alabama","B01001_002",21459,253
"01021","Chilton County, Alabama","B01001_003",1226,164
"01021","Chilton County, Alabama","B01001_004",1628,220
"01021","Chilton County, Alabama","B01001_005",1316,197
"01021","Chilton County, Alabama","B01001_006",1093,165
"01021","Chilton County, Alabama","B01001_007",474,67
"01021","Chilton County, Alabama","B01001_008",420,180
"01021","Chilton County, Alabama","B01001_009",165,88
"01021","Chilton County, Alabama","B01001_010",715,182
"01021","Chilton County, Alabama","B01001_011",1506,99
"01021","Chilton County, Alabama","B01001_012",1306,155
"01021","Chilton County, Alabama","B01001_013",1431,239
"01021","Chilton County, Alabama","B01001_014",1526,267
"01021","Chilton County, Alabama","B01001_015",1287,47
"01021","Chilton County, Alabama","B01001_016",1370,116
"01021","Chilton County, Alabama","B01001_017",1381,204
"01021","Chilton County, Alabama","B01001_018",823,182
"01021","Chilton County, Alabama","B01001_019",589,152
"01021","Chilton County, Alabama","B01001_020",471,117
"01021","Chilton County, Alabama","B01001_021",610,152
"01021","Chilton County, Alabama","B01001_022",879,148
"01021","Chilton County, Alabama","B01001_023",682,105
"01021","Chilton County, Alabama","B01001_024",341,101
"01021","Chilton County, Alabama","B01001_025",220,100
"01021","Chilton County, Alabama","B01001_026",22596,253
"01021","Chilton County, Alabama","B01001_027",1533,159
"01021","Chilton County, Alabama","B01001_028",1597,244
"01021","Chilton County, Alabama","B01001_029",1341,247
"01021","Chilton County, Alabama","B01001_030",901,82
"01021","Chilton County, Alabama","B01001_031",426,55
"01021","Chilton County, Alabama","B01001_032",383,184
"01021","Chilton County, Alabama","B01001_033",192,106
"01021","Chilton County, Alabama","B01001_034",599,134
"01021","Chilton County, Alabama","B01001_035",1510,202
"01021","Chilton County, Alabama","B01001_036",1460,179
"01021","Chilton County, Alabama","B01001_037",1373,249
"01021","Chilton County, Alabama","B01001_038",1544,196
"01021","Chilton County, Alabama","B01001_039",1535,164
"01021","Chilton County, Alabama","B01001_040",1390,69
"01021","Chilton County, Alabama","B01001_041",1567,187
"01021","Chilton County, Alabama","B01001_042",662,148
"01021","Chilton County, Alabama","B01001_043",734,144
"01021","Chilton County, Alabama","B01001_044",469,111
"01021","Chilton County, Alabama","B01001_045",680,161
"01021","Chilton County, Alabama","B01001_046",1043,153
"01021","Chilton County, Alabama","B01001_047",755,151
"01021","Chilton County, Alabama","B01001_048",510,146
"01021","Chilton County, Alabama","B01001_049",392,110
"01023","Choctaw County, Alabama","B01001_001",12925,NA
"01023","Choctaw County, Alabama","B01001_002",6145,81
"01023","Choctaw County, Alabama","B01001_003",318,69
"01023","Choctaw County, Alabama","B01001_004",324,81
"01023","Choctaw County, Alabama","B01001_005",429,81
"01023","Choctaw County, Alabama","B01001_006",294,50
"01023","Choctaw County, Alabama","B01001_007",161,66
"01023","Choctaw County, Alabama","B01001_008",57,45
